ano_eje;sec_ejec;pliego;ejecutora;sec_func;programa;prod_pry;act_ai_obra;funcion;division_func;grupo_func;meta;finalidad;unidad_medida;cantidad;departamento;provincia;distrito;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;categ_gasto;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje;compromiso;certificado;devengado;girado;pagado;calendario
2021;301280;000;031;0001;0001;3033251;5005983;20;043;0095;00001;0215059;00056;360;15;01;31;;1;;;5;2;3; 2; 7; 5; 9;68173;-38248;29925;0;0;0;0;0;0;0;0;0;0;0;0;0;29925;0;11439;11439;11439;11439;11439;0
2021;301280;000;031;0001;0001;3033251;5005983;20;043;0095;00001;0215059;00056;360;15;01;31;;1;;;5;2;3; 1; 5; 1; 2;0;3528;3528;0;0;0;0;0;0;0;0;0;0;0;0;0;3528;0;3475.54;3527.93;3475.54;3475.54;3403.54;0
2021;301280;000;031;0001;0001;3033251;5005983;20;043;0095;00001;0215059;00056;360;15;01;31;;1;;;5;2;3; 2; 7;11; 6;0;3575;3575;0;0;0;0;0;0;0;0;0;0;0;0;0;3575;0;3573.6;3573.6;3573.57;899.97;899.97;0
2021;301280;000;031;0001;0001;3033251;5005983;20;043;0095;00001;0215059;00056;360;15;01;31;;1;;;5;2;3; 2; 9; 1; 1;0;31145;31145;0;0;0;0;0;0;0;0;0;0;0;0;0;31145;0;28875;28875;28875;28875;28875;0
2021;301280;000;031;0002;0016;3000669;5005159;23;051;0115;00001;0136043;00086;120;15;01;31;;1;;;5;2;2; 2; 3; 1; 1;52598;0;52598;0;0;0;0;0;0;0;0;0;0;0;0;0;52598;0;48565.89;48764.13;48565.89;30616.65;30549.65;0
2021;301280;000;031;0067;9002;3999999;5001059;23;051;0115;00001;0001496;00101;143810;15;01;31;;1;;;5;2;2; 2; 3; 1; 1;67027;0;67027;0;0;0;0;0;0;0;0;0;0;0;0;0;67027;0;67024.28;67024.28;67024.28;67024.28;67024.28;0
2021;301280;000;031;0105;9002;3999999;5006269;23;051;0114;00001;0290093;00010;3228;15;01;31;;1;;;5;2;3; 2; 7; 5; 9;0;8250;8250;0;0;0;0;0;0;0;0;0;0;0;0;0;8250;0;8250;8250;8250;8250;8250;0
2021;301280;000;031;0105;9002;3999999;5006269;23;051;0114;00001;0290093;00010;3228;15;01;31;;1;;;5;2;3; 2; 7;11;99;0;4500;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;4500;0;4500;4500;4500;4500;4500;0
2021;301280;000;031;0116;9002;3999999;5006373;03;004;0005;00001;0316055;00010;1047;15;01;31;;1;;;5;2;1; 1; 9; 3;10;0;5250;5250;0;0;0;0;0;0;0;0;0;0;0;0;0;5250;0;5250;5250;5250;5250;5250;0
2021;301280;000;031;0116;9002;3999999;5006373;03;004;0005;00001;0316055;00010;1047;15;01;31;;1;;;5;2;3; 2; 8; 1; 8;0;214620;214620;0;0;0;0;0;0;0;0;0;0;0;0;0;214620;0;214620;214620;214620;214620;214620;0
2021;301280;000;031;0041;9002;2019373;4000075;15;036;0074;00001;0006667;00001;6;15;01;31;;5;;;6;2;6; 2; 3; 2; 3;34698049;-34698049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;301280;000;031;0042;9002;2325535;4000161;05;014;0031;00001;0023858;00612;1;15;01;31;;5;;;6;2;6; 2; 2; 6; 2;0;6900160;6900160;0;0;0;0;0;0;0;0;0;0;0;0;0;6900160;0;1705451;3322459.06;380557.92;380557.92;380557.92;0
2021;301280;000;031;0076;9002;2154450;4000219;19;041;0090;00001;0001508;00081;1;15;01;31;;5;;;6;2;6; 2; 3; 2; 3;0;271125;271125;0;0;0;0;0;0;0;0;0;0;0;0;0;271125;0;271122.83;271122.83;271122.54;271122.54;197384.05;0
2021;301280;000;031;0076;9002;2154450;4000219;19;041;0090;00001;0001508;00081;1;15;01;31;;5;;;6;2;6; 8; 1; 4; 3;0;159974;159974;0;0;0;0;0;0;0;0;0;0;0;0;0;159974;0;159973.49;159973.49;159973.49;159973.49;44698.53;0
