ano_eje;sec_ejec;pliego;ejecutora;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje
2017;301280;;;;2;;;1;1; 5; 3; 1; 1;607475;0;607475;54079.99;23189.79;42089.42;29698.72;39094.79;28107.93;33359.24;33661.57;34269.68;30850;17083.28;22971.67;388456.08;219018.92;63.95
2017;301280;;;;2;;;1;1; 5; 3; 2; 1;4123362;0;4123362;220446.6;178330.04;502110.21;250963.81;435115.51;250715.19;340697.29;688390.05;267255.86;10190.68;16217.55;13633.04;3174065.83;949296.17;76.98
2017;301280;;;;2;;;1;3; 1; 9; 1; 2;4801;0;4801;50;355;110;30;113.5;38.5;218;485.3;0;30;45;110;1585.3;3215.7;33.02
2017;301280;;;;2;;;1;3; 2; 1; 1; 1;246450;48070;294520;28421.5;27236.2;32150.4;25720.9;20377.4;22878.5;21961.4;21333.35;22916.3;24315.2;12629.2;18237;278177.35;16342.65;94.45
2017;301280;;;;2;;;1;3; 2; 3; 1; 1;12859;0;12859;1252;913;1128;1086;922;919;684;817;1225;1389;821;632;11788;1071;91.67
2017;301280;;;;2;;;1;3; 2; 4; 1; 4;40776;2484;43260;4326;3502;3090;2884;2472;2472;2678;3399;2163;2369;2060;1459.4;32874.4;10385.6;75.99
2017;301280;;;;2;;;1;3; 2; 4; 1; 6;621273;0;621273;48355.2;45498.7;45600.2;46890.8;42631.8;34748.1;41974.5;45469;41240.2;36309.3;37644.7;30799.8;497162.3;124110.7;80.02
2017;301280;;;;2;;;1;3; 2; 4; 1; 7;6888;2172;9060;372.5;257.6;579.6;483;692.3;630.7;740.7;680.6;877.2;402.5;275.9;266.4;6259;2801;69.08
2017;301280;;;;2;;;1;3; 2; 5; 1;99;0;0;0;0;0;0;0;0;0;909;-909;0;0;0;0;0;0;0
2017;301280;;;;2;;;1;3; 2; 5; 2; 1;386974;0;386974;35986.6;32238;35725.9;37418.2;37758.8;38683.9;43833.8;55262.6;52341;35540.5;47179.4;50952.7;502921.4;-115947.4;129.96
2017;301280;;;;2;;;1;3; 2; 5; 2;99;339267;0;339267;22613.2;21450.8;29566.1;27282.6;27193.6;35570.1;27627.3;36696.9;32764;33362.7;36348.4;22672;353147.7;-13880.7;104.09
2017;301280;;;;2;;;1;3; 2; 8; 1; 6;2565612;0;2565612;152538.5;140882;154491.5;114937.5;141983;127447;114433;69547.5;0;0;0;0;1016260;1549352;39.61
2017;301280;;;;2;;;1;3; 2; 8; 1;99;0;0;0;0;0;0;0;595.2;0;0;0;0;0;0;0;595.2;-595.2;0
2017;301280;;;;2;;;1;3; 2; 9; 1; 4;83032;48015;131047;13746.6;12363.3;13745.8;13451.1;12370.9;16974.3;14256.4;18424.9;18542.9;17539.1;15298.1;9812.1;176525.5;-45478.5;134.7
2017;301280;;;;2;;;1;3; 2; 9; 1; 5;38776;0;38776;0;0;0;9659.4;35801.4;0;0;0;0;0;0;0;45460.8;-6684.8;117.24
2017;301280;;;;2;;;1;3; 2; 9; 1; 6;367178;0;367178;24970.4;33082;26210.8;12694.5;26327;32148.9;20995.8;24313.8;21042;27358.8;20677.3;14154.7;283976;83202;77.34
2017;301280;;;;2;;;1;3; 2; 9; 1;99;121;0;121;0;36.7;0;0;0;0;0;36.7;36.7;0;0;36.7;146.8;-25.8;121.32
2017;301280;;;;2;;;1;3; 2;10; 1; 1;0;0;0;0;0;0;0;0;0;38.7;-38.7;0;0;0;0;0;0;0
2017;301280;;;;2;;;1;3; 2;10; 1; 5;62414;11057;73471;4085.6;3916.5;4682.3;4621.4;5423.6;2458;3685;3470.5;5195.5;6642.2;6379.5;4358.1;54918.2;18552.8;74.75
2017;301280;;;;2;;;1;3; 2;10; 1;11;279;0;279;21;47.6;46.2;10.5;21;30.8;2.1;97.5;39.9;75.4;67.5;68.3;527.8;-248.8;189.18
2017;301280;;;;2;;;1;3; 2;10; 1;99;156070;475966;632036;8965.53;58074.59;15599.06;6905.49;5247.94;3400.12;4217.16;3262.6;2428.48;0;0;0;108100.97;523935.03;17.1
